name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest
Stillmann Castano,22/08/2019,"{'C#': 6, 'Java': 5, 'R': 2, 'JavaScript': 2}",['Charisma'],"['Distracted', 'Impulsive', 'Introverted']",Yes,Yes,Yes,Pass,Business
Hilary Willmore,01/08/2019,"{'Python': 1, 'C#': 4, 'Java': 2, 'C++': 4}","['Patient', 'Curious', 'Problem Solving']","['Overbearing', 'Chatty', 'Indifferent']",No,Yes,Yes,Fail,Data
Efrem Whipple,22/08/2019,"{'Ruby': 4, 'C++': 4}","['Courteous', 'Independent', 'Patient']","['Introverted', 'Impulsive', 'Anxious']",Yes,Yes,Yes,Pass,Business
Sydel Fenne,28/08/2019,"{'Java': 3, 'SPSS': 4}",['Passionate'],"['Perfectionist', 'Sensitive']",Yes,Yes,Yes,Pass,Data
Michel Lebarree,07/08/2019,"{'Python': 3, 'Java': 4, 'Ruby': 1, 'R': 2, 'PHP': 2, 'C++': 3}",['Versatile'],"['Controlling', 'Perfectionist', 'Chatty']",Yes,Yes,Yes,Pass,Engineering
Cooper Ingraham,14/08/2019,"{'C#': 3, 'Java': 1, 'PHP': 4}","['Versatile', 'Rational']",['Immature'],Yes,Yes,No,Fail,Business
Bird Le Count,22/08/2019,"{'SPSS': 3, 'PHP': 3, 'C++': 2}",['Collaboration'],"['Impatient', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Fail,Business
Orly Lorens,01/08/2019,"{'Ruby': 2, 'R': 5, 'SPSS': 1, 'JavaScript': 1}","['Ambitious', 'Independent', 'Passionate']","['Conventional', 'Passive']",No,Yes,Yes,Fail,Business
Hannah Messum,29/08/2019,"{'Python': 8, 'Ruby': 2, 'JavaScript': 2}","['Reliable', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Fail,Data
Gavin Lambregts,21/08/2019,"{'Python': 3, 'C#': 2, 'C++': 5, 'JavaScript': 1}","['Altruism', 'Empathy', 'Problem Solving']","['Chaotic', 'Selfish']",Yes,Yes,Yes,Pass,Data
Letta Halston,08/08/2019,"{'PHP': 3, 'JavaScript': 4}","['Listening', 'Passionate']","['Perfectionist', 'Immature', 'Passive']",Yes,Yes,Yes,Fail,Business
Rivalee Eagleton,08/08/2019,"{'Python': 3, 'Ruby': 4, 'JavaScript': 2}","['Organisation', 'Passionate', 'Versatile']","['Conventional', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Engineering
Neda Marmyon,15/08/2019,"{'Python': 4, 'Ruby': 5, 'R': 7, 'C++': 1}","['Curious', 'Ambitious', 'Consistent']",['Sensitive'],Yes,Yes,Yes,Pass,Data
Kermy Caves,29/08/2019,{'PHP': 2},"['Versatile', 'Ambitious']","['Slow', 'Overbearing', 'Conventional']",Yes,No,Yes,Fail,Business
Edithe Dimitrov,07/08/2019,"{'Python': 4, 'C#': 3, 'Java': 3}","['Passionate', 'Versatile']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering
Aubert Cicerone,06/08/2019,"{'Python': 4, 'C#': 3, 'Ruby': 3, 'JavaScript': 3}","['Efficient', 'Independent']","['Indifferent', 'Sensitive', 'Introverted']",Yes,Yes,No,Fail,Data
Erastus Mcelrath,14/08/2019,"{'Python': 3, 'C#': 3, 'SPSS': 2, 'PHP': 1}","['Problem Solving', 'Altruism']",['Indifferent'],Yes,No,No,Fail,Data
Edgar Annesley,28/08/2019,"{'Python': 2, 'C#': 7, 'Ruby': 4, 'JavaScript': 2}",['Independent'],"['Controlling', 'Impulsive']",No,Yes,Yes,Fail,Data
Haslett Steet,07/08/2019,,"['Problem Solving', 'Efficient', 'Patient']",['Undisciplined'],Yes,Yes,Yes,Pass,Engineering
Kirbee Clementet,08/08/2019,{'C++': 1},['Determined'],['Anxious'],Yes,Yes,No,Fail,Engineering
Marcellina Ping,21/08/2019,"{'C#': 4, 'Java': 5}","['Composure', 'Independent']","['Impulsive', 'Competitive', 'Controlling']",Yes,Yes,Yes,Pass,Business
Violet Luscombe,14/08/2019,"{'Python': 2, 'C#': 1, 'Ruby': 2, 'C++': 3}","['Competitive', 'Empathy']",['Impulsive'],Yes,Yes,Yes,Pass,Data
Phillis Wabey,06/08/2019,"{'Python': 1, 'C#': 3, 'R': 2, 'SPSS': 2}",['Problem Solving'],"['Overbearing', 'Impatient']",Yes,Yes,Yes,Pass,Data
Maurice Yakhin,29/08/2019,"{'Ruby': 6, 'R': 4, 'SPSS': 4, 'C++': 2, 'JavaScript': 3}","['Composure', 'Problem Solving', 'Efficient']","['Impatient', 'Critical']",Yes,Yes,Yes,Pass,Engineering
Wesley Tolerton,13/08/2019,,"['Determined', 'Problem Solving', 'Patient']","['Indecisive', 'Undisciplined']",No,Yes,Yes,Fail,Business
Brittaney Roughey,15/08/2019,"{'R': 4, 'SPSS': 2}","['Perfectionism', 'Charisma']","['Overbearing', 'Conventional', 'Immature']",Yes,Yes,Yes,Pass,Engineering
Saree Daens,15/08/2019,"{'C#': 1, 'R': 2}",['Reliable'],['Passive'],Yes,Yes,Yes,Pass,Engineering
Mona Willimott,08/08/2019,"{'C#': 1, 'Java': 3, 'Ruby': 2, 'R': 1, 'PHP': 2, 'JavaScript': 2}",['Passionate'],"['Passive', 'Chatty']",Yes,Yes,Yes,Pass,Engineering
Alvie Bleackly,01/08/2019,,['Perfectionism'],"['Impatient', 'Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering
Drud Tellenbrok,06/08/2019,"{'Python': 1, 'C#': 3, 'Ruby': 3}","['Empathy', 'Charisma']","['Slow', 'Anxious', 'Chatty']",Yes,Yes,Yes,Pass,Data
Deck Itzchaki,01/08/2019,{'PHP': 1},['Reliable'],['Indifferent'],Yes,Yes,Yes,Pass,Business
Charlie Danelut,14/08/2019,"{'Python': 3, 'R': 2, 'SPSS': 1}","['Efficient', 'Empathy', 'Independent']","['Indecisive', 'Chaotic']",Yes,No,Yes,Fail,Data
Wilt Penritt,01/08/2019,{'JavaScript': 5},"['Collaboration', 'Curious']","['Slow', 'Sensitive']",No,Yes,Yes,Fail,Data
Stevie Houliston,15/08/2019,"{'C#': 2, 'Java': 4, 'R': 1, 'SPSS': 6}",['Reliable'],['Overbearing'],Yes,Yes,Yes,Pass,Engineering
Fairlie Cogzell,14/08/2019,"{'Python': 3, 'Java': 5, 'R': 2, 'SPSS': 4, 'PHP': 1, 'JavaScript': 1}","['Independent', 'Ambitious']","['Perfectionist', 'Introverted', 'Indecisive']",Yes,Yes,Yes,Pass,Business
Beckie Aveling,22/08/2019,"{'C#': 4, 'Java': 6, 'SPSS': 1, 'JavaScript': 3}",['Curious'],['Slow'],Yes,Yes,Yes,Fail,Business
Axe Mckall,15/08/2019,"{'Python': 2, 'Java': 3, 'Ruby': 4, 'PHP': 2}","['Rational', 'Innovative', 'Collaboration']","['Impatient', 'Distracted']",Yes,Yes,Yes,Pass,Business
Marcela Pass,27/08/2019,"{'Python': 3, 'C++': 1}","['Curious', 'Passionate']",['Selfish'],Yes,No,Yes,Fail,Business
Sauncho Aveson,13/08/2019,"{'Java': 2, 'Ruby': 1, 'PHP': 1}","['Rational', 'Innovative', 'Passionate']","['Immature', 'Competitive', 'Indifferent']",Yes,Yes,Yes,Pass,Data
Shamus Mccomish,15/08/2019,"{'Ruby': 6, 'R': 1, 'C++': 2, 'JavaScript': 2}",['Versatile'],"['Distracted', 'Slow']",No,Yes,Yes,Fail,Engineering
Andy Lown,22/08/2019,,"['Ambitious', 'Independent']","['Perfectionist', 'Procrastination']",Yes,Yes,Yes,Pass,Business
Arny Coorington,14/08/2019,{'Java': 1},['Efficient'],['Competitive'],Yes,Yes,Yes,Pass,Engineering
Devondra Blabey,15/08/2019,"{'Python': 4, 'R': 3, 'PHP': 2, 'JavaScript': 2}","['Creative', 'Passionate', 'Reliable']",['Distracted'],No,Yes,Yes,Fail,Engineering
Irita Lyptrit,07/08/2019,"{'Java': 1, 'Ruby': 2}",['Problem Solving'],['Perfectionist'],Yes,Yes,Yes,Pass,Engineering
Jae Rennolds,29/08/2019,"{'C#': 2, 'R': 3, 'SPSS': 3, 'PHP': 2, 'C++': 5}","['Consistent', 'Collaboration']",['Stubborn'],Yes,Yes,Yes,Pass,Data
Marion Consadine,15/08/2019,"{'Python': 5, 'SPSS': 3, 'JavaScript': 4}","['Independent', 'Passionate']",['Overbearing'],Yes,Yes,Yes,Pass,Business
Leonore Pettiford,13/08/2019,"{'Python': 3, 'C++': 4}",['Passionate'],"['Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Data
Edvard Northen,07/08/2019,{'SPSS': 7},['Competitive'],['Controlling'],Yes,Yes,Yes,Pass,Data
Oralla Peasgood,07/08/2019,"{'C#': 6, 'Java': 5, 'Ruby': 5, 'SPSS': 6}","['Versatile', 'Consistent', 'Passionate']","['Intolerant', 'Distracted', 'Impulsive']",Yes,No,Yes,Fail,Business
Ly Ferro,13/08/2019,"{'Ruby': 1, 'PHP': 4, 'JavaScript': 1}","['Curious', 'Perfectionism', 'Determined']","['Selfish', 'Conventional']",Yes,No,Yes,Fail,Business
Lindsey Gerwood,29/08/2019,"{'Python': 1, 'Java': 1, 'Ruby': 4, 'R': 4, 'C++': 6}","['Courteous', 'Ambitious', 'Versatile']","['Sensitive', 'Introverted']",Yes,Yes,Yes,Fail,Data
Gianna Clevely,01/08/2019,"{'Python': 3, 'Java': 4}","['Independent', 'Competitive', 'Determined']","['Immature', 'Chaotic']",Yes,Yes,Yes,Pass,Business
Celine Doree,15/08/2019,"{'C#': 8, 'Java': 4}","['Reliable', 'Curious', 'Courteous']",['Impatient'],Yes,Yes,Yes,Pass,Data
Karlene Hughill,21/08/2019,"{'C#': 2, 'Ruby': 1, 'C++': 2, 'JavaScript': 1}","['Courteous', 'Determined']","['Controlling', 'Intolerant', 'Conventional']",Yes,Yes,Yes,Pass,Data
Sayre Webberley,14/08/2019,"{'Python': 5, 'C#': 3, 'Java': 1, 'PHP': 2, 'C++': 5}",['Independent'],"['Perfectionist', 'Distracted']",Yes,Yes,No,Fail,Engineering
Phyllys Baelde,15/08/2019,"{'Python': 1, 'R': 3, 'PHP': 3}","['Charisma', 'Collaboration', 'Listening']",['Indecisive'],Yes,Yes,Yes,Pass,Data
Samuele Whear,20/08/2019,"{'Python': 4, 'Java': 2, 'C++': 1}","['Rational', 'Passionate']","['Stubborn', 'Impulsive']",Yes,No,Yes,Fail,Business
Darcey Mordin,27/08/2019,"{'Java': 1, 'SPSS': 1}","['Curious', 'Empathy', 'Creative']","['Anxious', 'Slow', 'Competitive']",Yes,Yes,Yes,Pass,Business
Pamelina Itzkovsky,13/08/2019,"{'Java': 2, 'Ruby': 5}","['Curious', 'Perfectionism', 'Determined']","['Impatient', 'Passive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Pamelina Itzkovsky,13/08/2019,"{'Java': 2, 'Ruby': 5}","['Curious', 'Perfectionism', 'Determined']","['Impatient', 'Passive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Laurel Gillogley,21/08/2019,"{'Ruby': 4, 'C++': 3, 'JavaScript': 2}",['Ambitious'],"['Chatty', 'Distracted', 'Slow']",Yes,No,Yes,Fail,Engineering
Quinta Cowdray,28/08/2019,"{'Python': 1, 'SPSS': 2, 'JavaScript': 3}",['Consistent'],"['Conventional', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Cecile Lates,15/08/2019,"{'SPSS': 5, 'C++': 4}",['Perfectionism'],"['Slow', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering
Seumas Lemonby,14/08/2019,"{'C#': 1, 'PHP': 2, 'C++': 1}","['Altruism', 'Empathy', 'Innovative']",['Distracted'],Yes,Yes,Yes,Pass,Engineering
Gale Quartley,13/08/2019,"{'Java': 7, 'Ruby': 2, 'R': 2}","['Rational', 'Organisation', 'Consistent']",['Procrastination'],Yes,Yes,Yes,Pass,Data
Dorrie Srutton,22/08/2019,{'C#': 1},['Charisma'],"['Introverted', 'Sensitive']",No,Yes,Yes,Fail,Engineering
Benny Tichelaar,21/08/2019,"{'Java': 1, 'SPSS': 1, 'JavaScript': 4}",['Problem Solving'],"['Impulsive', 'Stubborn']",No,No,Yes,Fail,Data
Avrit Gawith,15/08/2019,"{'C#': 2, 'SPSS': 4, 'JavaScript': 3}",['Versatile'],"['Introverted', 'Chaotic']",Yes,Yes,Yes,Pass,Business
Berti Dennehy,22/08/2019,"{'SPSS': 2, 'PHP': 5, 'C++': 8}",['Consistent'],"['Stubborn', 'Anxious', 'Competitive']",Yes,Yes,Yes,Fail,Data
Rockey Robarts,14/08/2019,"{'Python': 6, 'Java': 3}","['Composure', 'Charisma', 'Rational']","['Indifferent', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering
Eloisa Ewert,21/08/2019,"{'C#': 2, 'Ruby': 2, 'PHP': 1}",['Efficient'],"['Anxious', 'Chatty']",Yes,Yes,No,Fail,Business
Mireille Risom,21/08/2019,"{'SPSS': 3, 'PHP': 2}","['Passionate', 'Reliable', 'Altruism']","['Chatty', 'Critical', 'Passive']",Yes,Yes,Yes,Pass,Data
Sharl Daggett,22/08/2019,"{'Ruby': 1, 'R': 1, 'SPSS': 1, 'JavaScript': 3}","['Efficient', 'Perfectionism']",['Controlling'],Yes,Yes,Yes,Pass,Engineering
Nikolos Yashin,15/08/2019,"{'Java': 2, 'R': 5, 'C++': 2, 'JavaScript': 3}","['Empathy', 'Curious']","['Chaotic', 'Stubborn']",Yes,Yes,Yes,Fail,Business
Shela Mccall,14/08/2019,"{'SPSS': 3, 'PHP': 1, 'C++': 1}","['Courteous', 'Curious', 'Organisation']","['Stubborn', 'Procrastination']",Yes,Yes,Yes,Fail,Engineering
Sonnie Malenfant,14/08/2019,"{'Python': 4, 'Ruby': 2, 'SPSS': 3, 'C++': 6}","['Organisation', 'Courteous']",['Perfectionist'],Yes,Yes,Yes,Pass,Business
Mahmud Molineux,20/08/2019,"{'Python': 7, 'Ruby': 7, 'C++': 2, 'JavaScript': 1}","['Rational', 'Charisma']","['Chatty', 'Distracted', 'Sensitive']",Yes,Yes,Yes,Pass,Business
Dylan Llewellen,29/08/2019,"{'Python': 2, 'C#': 1, 'R': 5, 'SPSS': 1}","['Perfectionism', 'Ambitious']","['Undisciplined', 'Intolerant', 'Perfectionist']",Yes,Yes,No,Fail,Data
Yvor Phalip,01/08/2019,"{'C#': 2, 'Java': 3, 'Ruby': 7, 'R': 1}","['Charisma', 'Creative', 'Curious']","['Intolerant', 'Procrastination', 'Immature']",Yes,Yes,No,Fail,Data
Berry Freed,29/08/2019,{'PHP': 3},"['Competitive', 'Versatile']",['Immature'],Yes,Yes,Yes,Pass,Business
Marielle Knivett,01/08/2019,"{'C#': 5, 'Ruby': 4, 'R': 5, 'SPSS': 7, 'PHP': 1}",['Critical Thinking'],"['Overbearing', 'Indecisive']",Yes,No,Yes,Fail,Business
Emmanuel Deniske,15/08/2019,"{'Python': 1, 'Java': 3, 'C++': 1}","['Passionate', 'Altruism', 'Courteous']","['Overbearing', 'Procrastination']",Yes,Yes,Yes,Pass,Data
Kerr Coucha,07/08/2019,"{'Python': 7, 'C#': 1, 'R': 2, 'SPSS': 3, 'C++': 6}",['Curious'],"['Controlling', 'Sensitive', 'Distracted']",Yes,Yes,Yes,Pass,Data
Dulci Mcgrayle,21/08/2019,"{'Java': 2, 'R': 3, 'PHP': 1, 'JavaScript': 6}","['Versatile', 'Creative']","['Chatty', 'Sensitive']",Yes,Yes,Yes,Pass,Data
Shandee Blaschke,21/08/2019,"{'Python': 3, 'C#': 3, 'Ruby': 4, 'C++': 1}",['Critical Thinking'],['Stubborn'],No,Yes,Yes,Fail,Engineering
Paul Chislett,14/08/2019,{'Java': 4},"['Composure', 'Organisation']","['Procrastination', 'Impatient', 'Conventional']",Yes,Yes,No,Fail,Engineering
Florri Loughton,01/08/2019,{'C#': 1},['Ambitious'],"['Indifferent', 'Critical', 'Conventional']",No,Yes,Yes,Fail,Engineering
Hildy Landre,08/08/2019,"{'C#': 3, 'R': 1, 'JavaScript': 3}","['Perfectionism', 'Courteous']",['Indifferent'],No,Yes,Yes,Fail,Data
Berny Botler,06/08/2019,"{'Python': 4, 'Java': 6, 'Ruby': 2, 'SPSS': 3, 'PHP': 4}","['Altruism', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Data
Merell Tremmil,13/08/2019,"{'SPSS': 4, 'C++': 6}","['Perfectionism', 'Collaboration', 'Patient']",['Indifferent'],Yes,Yes,Yes,Fail,Engineering
Ileana Chewter,21/08/2019,"{'Python': 4, 'Java': 2, 'Ruby': 5, 'C++': 6, 'JavaScript': 2}","['Passionate', 'Versatile']",['Competitive'],Yes,Yes,Yes,Pass,Business
Ilario Yeates,13/08/2019,"{'Python': 4, 'C#': 1, 'R': 3}",['Listening'],['Procrastination'],No,Yes,Yes,Fail,Engineering
Winnie Lewerenz,06/08/2019,"{'C#': 4, 'R': 2, 'JavaScript': 2}",['Patient'],['Indecisive'],Yes,No,Yes,Fail,Business
Garwood Strowan,20/08/2019,"{'Java': 3, 'C++': 3, 'JavaScript': 2}","['Consistent', 'Creative']","['Chatty', 'Impulsive']",No,Yes,Yes,Fail,Data
Herb Mcilmorie,08/08/2019,"{'Java': 3, 'Ruby': 2, 'R': 2, 'SPSS': 4, 'PHP': 7, 'C++': 1}",['Determined'],"['Sensitive', 'Passive']",Yes,Yes,Yes,Pass,Data
Ingunna Adin,01/08/2019,"{'Java': 6, 'R': 4, 'C++': 3, 'JavaScript': 3}","['Charisma', 'Altruism', 'Perfectionism']","['Competitive', 'Indifferent', 'Chaotic']",Yes,Yes,Yes,Pass,Data
Frazier Bayston,29/08/2019,"{'C#': 2, 'Ruby': 4, 'SPSS': 3, 'C++': 1, 'JavaScript': 5}",['Altruism'],['Impulsive'],Yes,No,Yes,Fail,Data
Hewett Lamputt,13/08/2019,"{'C#': 1, 'Ruby': 2, 'R': 6, 'PHP': 1, 'C++': 5, 'JavaScript': 3}","['Rational', 'Determined', 'Organisation']","['Slow', 'Controlling', 'Anxious']",Yes,Yes,Yes,Pass,Engineering
Rodger Bendelow,22/08/2019,"{'Python': 6, 'SPSS': 3}","['Courteous', 'Rational']","['Selfish', 'Impatient']",Yes,Yes,Yes,Pass,Data
Archer Hobben,14/08/2019,"{'Python': 2, 'Ruby': 4}","['Independent', 'Problem Solving']","['Critical', 'Indecisive']",Yes,Yes,Yes,Fail,Business
Stephani Prettyman,22/08/2019,"{'Python': 1, 'Java': 1, 'SPSS': 2, 'C++': 4, 'JavaScript': 1}","['Listening', 'Independent', 'Organisation']",['Selfish'],Yes,Yes,Yes,Pass,Engineering
Pepi Bome,20/08/2019,"{'C#': 1, 'Ruby': 5, 'SPSS': 2, 'PHP': 1, 'JavaScript': 2}","['Competitive', 'Charisma']","['Slow', 'Indifferent', 'Selfish']",Yes,Yes,Yes,Pass,Engineering
Loella Lonnon,06/08/2019,{'C++': 6},['Empathy'],"['Introverted', 'Conventional', 'Undisciplined']",Yes,Yes,No,Fail,Data
Darrin Stoffel,08/08/2019,"{'SPSS': 3, 'PHP': 2}",['Altruism'],"['Conventional', 'Introverted']",Yes,Yes,Yes,Pass,Business
Mitchel Bates,14/08/2019,"{'Python': 2, 'C#': 2, 'Java': 3, 'SPSS': 2, 'JavaScript': 3}",['Problem Solving'],['Stubborn'],Yes,Yes,No,Fail,Engineering
Miles Water,08/08/2019,"{'C#': 2, 'Java': 2, 'PHP': 2, 'JavaScript': 4}","['Charisma', 'Passionate', 'Creative']","['Slow', 'Intolerant', 'Sensitive']",Yes,Yes,Yes,Pass,Business
Fanni Polhill,28/08/2019,"{'Python': 2, 'C#': 3, 'SPSS': 6}","['Perfectionism', 'Efficient', 'Listening']","['Indecisive', 'Indifferent', 'Undisciplined']",Yes,Yes,Yes,Fail,Engineering
Genvieve Arnke,22/08/2019,"{'Ruby': 3, 'PHP': 2}","['Reliable', 'Patient', 'Rational']","['Selfish', 'Chatty']",No,Yes,Yes,Fail,Business
Alicia Hruska,28/08/2019,"{'C#': 3, 'Java': 4, 'R': 4}","['Altruism', 'Competitive', 'Charisma']",['Indifferent'],Yes,Yes,Yes,Pass,Business
Mella Aubin,15/08/2019,"{'Ruby': 6, 'R': 3, 'SPSS': 4}",['Listening'],['Introverted'],Yes,Yes,Yes,Pass,Data
George Huckstepp,06/08/2019,"{'C#': 1, 'Java': 2, 'R': 2}","['Perfectionism', 'Listening', 'Ambitious']","['Anxious', 'Indifferent']",No,Yes,Yes,Fail,Engineering
Joelie Elfitt,29/08/2019,"{'Python': 1, 'C#': 4}",['Problem Solving'],['Chatty'],Yes,Yes,No,Fail,Business
Omar Rodrigo,27/08/2019,"{'Ruby': 3, 'JavaScript': 1}","['Composure', 'Versatile']","['Impatient', 'Slow', 'Critical']",Yes,No,Yes,Fail,Engineering
Cal Loache,15/08/2019,"{'Python': 3, 'C#': 3, 'Ruby': 2, 'R': 7, 'SPSS': 1, 'PHP': 2, 'JavaScript': 1}","['Ambitious', 'Reliable', 'Determined']","['Sensitive', 'Indifferent']",Yes,Yes,Yes,Fail,Business
Tully Mcdoual,07/08/2019,"{'Python': 4, 'Ruby': 3, 'R': 1}",['Rational'],"['Stubborn', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering
Molli Brayfield,22/08/2019,"{'Java': 4, 'R': 3, 'SPSS': 3, 'PHP': 3}",['Listening'],"['Perfectionist', 'Conventional']",Yes,Yes,Yes,Pass,Data
Janaya Mawford,01/08/2019,"{'Python': 7, 'R': 1}","['Problem Solving', 'Efficient']","['Stubborn', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Lazarus Hooke,29/08/2019,"{'Java': 1, 'R': 1}","['Independent', 'Perfectionism']",['Immature'],No,Yes,Yes,Fail,Data
Sidney Le Batteur,08/08/2019,{'JavaScript': 1},['Listening'],"['Intolerant', 'Conventional', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Maryellen Vasovic,20/08/2019,"{'Java': 3, 'Ruby': 4, 'PHP': 1, 'JavaScript': 4}","['Problem Solving', 'Altruism', 'Patient']","['Indecisive', 'Procrastination', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Winona Rubinowitz,29/08/2019,"{'C#': 1, 'Ruby': 3, 'JavaScript': 3}",['Courteous'],['Controlling'],Yes,Yes,Yes,Pass,Engineering
Dur Plom,14/08/2019,"{'C#': 1, 'Ruby': 2, 'R': 4, 'SPSS': 4, 'PHP': 1, 'C++': 3}","['Consistent', 'Innovative']","['Indifferent', 'Indecisive', 'Controlling']",Yes,Yes,Yes,Fail,Engineering
